Titulos,contenidos,Palabras claves
    Coordinador inteligencia de mercados  ,"Importante empresa del sector busca para su equipo comercial, un coordinador de Inteligencia de Mercados, administrador de empresas, economista, financiero, ingeniero, estadístico, matemático y/o a fines, con experiencia de mas de 2años  en análisis de hábitos de consumo, demografía, desarrollo de Buyer persona y Dashboards de decoración para proyectos, seguimiento a perfiles de clientes de compradores y visitantes, sistematizar y desarrollar estudios de mercado con el fin de proporcionar información y soluciones analíticas para generación de estrategias de comercialización, captura de clientes y estrategias de marketing que contribuyan al desarrollo de productos competitivos implementando acciones de comercialización para alcanzar la cuota de mercado establecida en las unidades de Negocio de Vivienda y Otros uso del negocio, estudios de mercado inmobiliario, análisis estadístico, estrategia comercial, indispensable conocimiento en CRM , cuadros de mando integral de Inteligencia Comercial en el sector construcción.        ",                                Investigacion                            
    Mensajero conductor  ,Importante empresa comercializadora de equipos requiere mensajero conductor,                                mensajero                            
    Auxiliar enfermeria supernumerario_ administrativo / asistencial bogotá  ,"IPS Especializada requiere para su equipo de trabajo personal para desempeñar el cargo de Auxiliar Administrativo Operaciones  quien tendrá como fin apoyar labores administrativas y/o asistenciales en áreas tales como : -Toma de signos vitales, -Aplicación de medicamentos, -Realización de historias clínicas y  Admisión del usuario.",                                IPS                            
    Coordinador de diseños técnicos - bogotá  ,"En Constructora Capital buscamos profesionales en Ingeniería Civil preferiblemente con Especialización en diseños (eléctricos, hidráulicos) o estructuras, para coordinar diseños arquitectónicos y diseños técnicos (eléctricos, hidrosanitarios, estructurales, urbanismo y redes) en proyectos de Vivienda, velando por el cumplimiento de las características definidas. Mantener contacto directo con los diseñadores de cada especialidad, entregar diseños finales a las obras, control y seguimiento al estado de los diseños. ",                                diseños técnicos                            
    Coordinador operativo de proyectos sociales - uribia  ,"En Profamilia, buscamos profesionales comprometidos con los derechos humanos, Trabajamos para ser un espacio laboral, libre de discriminación!. Invitamos a toda la comunidad a participar en esta convocatoria.",                                Coordinador de Proyectos                            
    Líder de operaciones sector it  ,"DB System requiere profesional en Ingeniería de Sistemas, Industrial o afines, con mínimo 3 años de experiencia en el área de Operaciones, indispensable que dicha experiencia haya sido en el sector tecnológico, seguimiento de recursos, órdenes de compra, facturación, apoyo en el monitoreo y ejecución frente a clientes, levantamiento y documentación de procesos.  Contrato Indefinido.  Trabajo presencial en Bogotá. Horario de oficina de lunes a viernes.        ",                                operaciones                            
    Estudiante de ingeniería sistemas ciberseguridad (sede calle 80)  ,¿Quieres hacer parte de la empresa mayorista de tecnología número 1 en Colombia? ,                                ingeniero preventa                            
    Ingeniero de sistemas  ibm (sede calle 80)  ,¿Quieres hacer parte de la empresa mayorista de tecnología número 1 en Colombia? ,                                analista                            
    Administrador de plataformas capa media  ,"Empresa de tecnologia dedicada a Smart Data, analitica avanzada y productos Cloud, re quiere Administrado de Infraestructura y capa media, Tecnologo o profesional de ingenieria de Sistemas, ingenieria electronica, ingenieria de software con experiencia  y conocimiento en Sistemas operativos Linux, AIX, ISS, parchado de serivodres, instalacion de certificados, administracion de instraestructura, memoria, discos, sistemas virtualizados, conocimientos en , WebLogic, Tomcat, Apache, administracion de servidores de aplicacion, cloud control.",                                Linux                            
    Médico general - centro médico plaza de las americas -jornada tarde  ,Si quieres ser parte de una de las compañías más innovadoras y quieres transformar positivamente la vida de las personas. ¡Esta Oportunidad es para Ti! Estamos en búsqueda de   Médico general para servicio de consulta externa.,                                Medico general consulta externa                            
    Auxiliar de tesorería  ,"Clínica de III nivel de complejidad, requiere para su equipo de trabajo AUXILIAR DE TESORERIA con experiencia mínima de (1) año deseable en entidades de salud de tercer y cuarto nivel de complejidad.",                                tesoreria                            
    Legal counsel  ,"The main purposes of the role are to participate in legal, contractual, corporate, and labor matters to increase and demonstrate the value of the legal department to the broader organization, including by supporting other members of the legal and business team according to the guidelines established.",                                software contracts                            
